case_ID,Activity_ID,Activity_Name,Owner,Outcome,Timestamp
5,1,Materials Request Initiated,Procurement Manager,Initiated,12/14/2024 9:15
5,2,Review Material Request,Procurement Manager,Reviewed,12/14/2024 9:30
5,3,Approve Material Request,Procurement Manager,Approved,12/14/2024 9:45
5,4,Create Purchase Order,Procurement Manager,Created,12/14/2024 10:00
5,5,Order Sent to Supplier,Procurement Manager,Sent,12/14/2024 10:15
5,6,Materials Delivered by Supplier,Supplier,Delivered,12/14/2024 10:30
5,7,Inspect and Receive Materials,QA Inspector,Passed,12/14/2024 10:45
5,8,Production Scheduled,Production Planner,Scheduled,12/14/2024 11:00
5,9,Create Production Schedule,Production Planner,Created,12/14/2024 11:15
5,10,Assemble Components,Assembly Team,Assembled,12/14/2024 11:30
5,11,Perform Initial Testing of Sub-units,Testing Team,Passed,12/14/2024 11:45
5,12,Assemble Final Product,Assembly Team,Assembled,12/14/2024 12:00
5,13,Conduct Initial Product Testing,Testing Team,Tested,12/14/2024 12:15
5,14,Perform Detailed Functional Testing,QA Inspector,Approved,12/14/2024 12:30
5,15,Approve Products,QA Inspector,Approved,12/14/2024 12:45
5,16,Package Approved Products,Packaging Team,Packaged,12/14/2024 13:00
5,17,Label Packaged Products,Packaging Team,Labeled,12/14/2024 13:15
5,18,Products Prepared for Shipping,Logistics Manager,Prepared,12/14/2024 13:30
5,19,Create Shipping Documents,Logistics Manager,Created,12/14/2024 13:45
5,20,Arrange Transportation,Logistics Manager,Arranged,12/14/2024 14:00
5,21,Ship Products,Logistics Manager,Shipped,12/14/2024 14:15
5,22,Delivery Confirmed,Customer,Confirmed,12/14/2024 14:30
6,1,Materials Request Initiated,Procurement Manager,Initiated,12/14/2024 9:15
6,2,Review Material Request,Procurement Manager,Reviewed,12/14/2024 9:30
6,3,Approve Material Request,Procurement Manager,Approved,12/14/2024 9:45
6,4,Create Purchase Order,Procurement Manager,Created,12/14/2024 10:00
6,5,Order Sent to Supplier,Procurement Manager,Sent,12/14/2024 10:15
6,6,Materials Delivered by Supplier,Supplier,Delivered,12/14/2024 10:30
6,7,Inspect and Receive Materials,QA Inspector,Passed,12/14/2024 10:45
6,8,Production Scheduled,Production Planner,Scheduled,12/14/2024 11:00
6,9,Create Production Schedule,Production Planner,Created,12/14/2024 11:15
6,10,Assemble Components,Assembly Team,Assembled,12/14/2024 11:30
6,11,Perform Initial Testing of Sub-units,Testing Team,Passed,12/14/2024 11:45
6,12,Assemble Final Product,Assembly Team,Assembled,12/14/2024 12:00
6,13,Conduct Initial Product Testing,Testing Team,Tested,12/14/2024 12:15
6,14,Perform Detailed Functional Testing,QA Inspector,Approved,12/14/2024 12:30
6,15,Approve Products,QA Inspector,Approved,12/14/2024 12:45
6,16,Package Approved Products,Packaging Team,Packaged,12/14/2024 13:00
6,17,Label Packaged Products,Packaging Team,Labeled,12/14/2024 13:15
6,18,Products Prepared for Shipping,Logistics Manager,Prepared,12/14/2024 13:30
6,19,Create Shipping Documents,Logistics Manager,Created,12/14/2024 13:45
6,20,Arrange Transportation,Logistics Manager,Arranged,12/14/2024 14:00
6,21,Ship Products,Logistics Manager,Shipped,12/14/2024 14:15
6,22,Delivery Confirmed,Customer,Confirmed,12/14/2024 14:30
7,1,Materials Request Initiated,Procurement Manager,Initiated,12/14/2024 9:15
7,2,Review Material Request,Procurement Manager,Reviewed,12/14/2024 9:30
7,3,Approve Material Request,Procurement Manager,Approved,12/14/2024 9:45
7,4,Create Purchase Order,Procurement Manager,Created,12/14/2024 10:00
7,5,Order Sent to Supplier,Procurement Manager,Sent,12/14/2024 10:15
7,6,Materials Delivered by Supplier,Supplier,Delivered,12/14/2024 10:30
7,7,Inspect and Receive Materials,QA Inspector,Passed,12/14/2024 10:45
7,8,Production Scheduled,Production Planner,Scheduled,12/14/2024 11:00
7,9,Create Production Schedule,Production Planner,Created,12/14/2024 11:15
7,10,Assemble Components,Assembly Team,Assembled,12/14/2024 11:30
7,11,Perform Initial Testing of Sub-units,Testing Team,Passed,12/14/2024 11:45
7,12,Assemble Final Product,Assembly Team,Assembled,12/14/2024 12:00
7,13,Conduct Initial Product Testing,Testing Team,Tested,12/14/2024 12:15
7,14,Perform Detailed Functional Testing,QA Inspector,Approved,12/14/2024 12:30
7,15,Approve Products,QA Inspector,Approved,12/14/2024 12:45
7,16,Package Approved Products,Packaging Team,Packaged,12/14/2024 13:00
7,17,Label Packaged Products,Packaging Team,Labeled,12/14/2024 13:15
7,18,Products Prepared for Shipping,Logistics Manager,Prepared,12/14/2024 13:30
7,19,Create Shipping Documents,Logistics Manager,Created,12/14/2024 13:45
7,20,Arrange Transportation,Logistics Manager,Arranged,12/14/2024 14:00
7,21,Ship Products,Logistics Manager,Shipped,12/14/2024 14:15
7,22,Delivery Confirmed,Customer,Confirmed,12/14/2024 14:30
8,1,Materials Request Initiated,Procurement Manager,Initiated,12/14/2024 9:15
8,2,Review Material Request,Procurement Manager,Reviewed,12/14/2024 9:30
8,3,Approve Material Request,Procurement Manager,Approved,12/14/2024 9:45
8,4,Create Purchase Order,Procurement Manager,Created,12/14/2024 10:00
8,5,Order Sent to Supplier,Procurement Manager,Sent,12/14/2024 10:15
8,6,Materials Delivered by Supplier,Supplier,Delivered,12/14/2024 10:30
8,7,Inspect and Receive Materials,QA Inspector,Passed,12/14/2024 10:45
8,8,Production Scheduled,Production Planner,Scheduled,12/14/2024 11:00
8,9,Create Production Schedule,Production Planner,Created,12/14/2024 11:15
8,10,Assemble Components,Assembly Team,Assembled,12/14/2024 11:30
8,11,Perform Initial Testing of Sub-units,Testing Team,Passed,12/14/2024 11:45
8,12,Assemble Final Product,Assembly Team,Assembled,12/14/2024 12:00
8,13,Conduct Initial Product Testing,Testing Team,Tested,12/14/2024 12:15
8,14,Perform Detailed Functional Testing,QA Inspector,Approved,12/14/2024 12:30
8,15,Approve Products,QA Inspector,Approved,12/14/2024 12:45
8,16,Package Approved Products,Packaging Team,Packaged,12/14/2024 13:00
8,17,Label Packaged Products,Packaging Team,Labeled,12/14/2024 13:15
8,18,Products Prepared for Shipping,Logistics Manager,Prepared,12/14/2024 13:30
8,19,Create Shipping Documents,Logistics Manager,Created,12/14/2024 13:45
8,20,Arrange Transportation,Logistics Manager,Arranged,12/14/2024 14:00
8,21,Ship Products,Logistics Manager,Shipped,12/14/2024 14:15
8,22,Delivery Confirmed,Customer,Confirmed,12/14/2024 14:30
9,1,Materials Request Initiated,Procurement Manager,Initiated,12/14/2024 9:15
9,2,Review Material Request,Procurement Manager,Reviewed,12/14/2024 9:30
9,3,Approve Material Request,Procurement Manager,Approved,12/14/2024 9:45
9,4,Create Purchase Order,Procurement Manager,Created,12/14/2024 10:00
9,5,Order Sent to Supplier,Procurement Manager,Sent,12/14/2024 10:15
9,6,Materials Delivered by Supplier,Supplier,Delivered,12/14/2024 10:30
9,7,Inspect and Receive Materials,QA Inspector,Passed,12/14/2024 10:45
9,8,Production Scheduled,Production Planner,Scheduled,12/14/2024 11:00
9,9,Create Production Schedule,Production Planner,Created,12/14/2024 11:15
9,10,Assemble Components,Assembly Team,Assembled,12/14/2024 11:30
9,11,Perform Initial Testing of Sub-units,Testing Team,Passed,12/14/2024 11:45
9,12,Assemble Final Product,Assembly Team,Assembled,12/14/2024 12:00
9,13,Conduct Initial Product Testing,Testing Team,Tested,12/14/2024 12:15
9,14,Perform Detailed Functional Testing,QA Inspector,Approved,12/14/2024 12:30
9,15,Approve Products,QA Inspector,Approved,12/14/2024 12:45
9,16,Package Approved Products,Packaging Team,Packaged,12/14/2024 13:00
9,17,Label Packaged Products,Packaging Team,Labeled,12/14/2024 13:15
9,18,Products Prepared for Shipping,Logistics Manager,Prepared,12/14/2024 13:30
9,19,Create Shipping Documents,Logistics Manager,Created,12/14/2024 13:45
9,20,Arrange Transportation,Logistics Manager,Arranged,12/14/2024 14:00
9,21,Ship Products,Logistics Manager,Shipped,12/14/2024 14:15
9,22,Delivery Confirmed,Customer,Confirmed,12/14/2024 14:30
10,1,Materials Request Initiated,Procurement Manager,Initiated,12/14/2024 9:15
10,2,Review Material Request,Procurement Manager,Reviewed,12/14/2024 9:30
10,3,Approve Material Request,Procurement Manager,Approved,12/14/2024 9:45
10,4,Create Purchase Order,Procurement Manager,Created,12/14/2024 10:00
10,5,Order Sent to Supplier,Procurement Manager,Sent,12/14/2024 10:15
10,6,Materials Delivered by Supplier,Supplier,Delivered,12/14/2024 10:30
10,7,Inspect and Receive Materials,QA Inspector,Passed,12/14/2024 10:45
10,8,Production Scheduled,Production Planner,Scheduled,12/14/2024 11:00
10,9,Create Production Schedule,Production Planner,Created,12/14/2024 11:15
10,10,Assemble Components,Assembly Team,Assembled,12/14/2024 11:30
10,11,Perform Initial Testing of Sub-units,Testing Team,Passed,12/14/2024 11:45
10,12,Assemble Final Product,Assembly Team,Assembled,12/14/2024 12:00
10,13,Conduct Initial Product Testing,Testing Team,Tested,12/14/2024 12:15
10,14,Perform Detailed Functional Testing,QA Inspector,Approved,12/14/2024 12:30
10,15,Approve Products,QA Inspector,Approved,12/14/2024 12:45
10,16,Package Approved Products,Packaging Team,Packaged,12/14/2024 13:00
10,17,Label Packaged Products,Packaging Team,Labeled,12/14/2024 13:15
10,18,Products Prepared for Shipping,Logistics Manager,Prepared,12/14/2024 13:30
10,19,Create Shipping Documents,Logistics Manager,Created,12/14/2024 13:45
10,20,Arrange Transportation,Logistics Manager,Arranged,12/14/2024 14:00
10,21,Ship Products,Logistics Manager,Shipped,12/14/2024 14:15
10,22,Delivery Confirmed,Customer,Confirmed,12/14/2024 14:30
